year,iso3_country,sector,subsector,asset_type,co2e_100yr,activity,capacity,continent_ct
2021,CHN,manufacturing,aluminum,Smelting,95868701,38773995.0,547380000.0,Asia
2021,CAN,manufacturing,aluminum,Smelting,7142160,2888633.0,39756000.0,North America
2021,IND,manufacturing,aluminum,Smelting,6882537,2783636.0,45684000.0,Asia
2021,RUS,manufacturing,aluminum,Smelting,6354997,2570283.0,53184000.0,Europe
2021,ARE,manufacturing,aluminum,Smelting,5725972,2315866.0,33456000.0,Asia
2021,AUS,manufacturing,aluminum,Smelting,3882927,1570447.0,19584000.0,Oceania
2021,DEU,manufacturing,aluminum,Smelting,3751243,1517188.0,6612000.0,Europe
2021,BHR,manufacturing,aluminum,Smelting,3388759,1370579.0,19800000.0,Asia
2021,SAU,manufacturing,aluminum,Smelting,3269642,1322402.0,19104000.0,Asia
2021,FRA,manufacturing,aluminum,Smelting,2927469,1184013.0,5160000.0,Europe
2021,USA,manufacturing,aluminum,Smelting,2451146,991362.0,13644000.0,North America
2021,NOR,manufacturing,aluminum,Smelting,2114987,855407.0,17700000.0,Europe
2021,BRA,manufacturing,aluminum,Smelting,2002785,810023.0,9060000.0,South America
2021,MYS,manufacturing,aluminum,Smelting,1952493,789683.0,12960000.0,Asia
2021,ZAF,manufacturing,aluminum,Smelting,1665443,673586.0,8688000.0,Africa
2021,QAT,manufacturing,aluminum,Smelting,1359612,549893.0,7944000.0,Asia
2021,MOZ,manufacturing,aluminum,Smelting,1322695,534961.0,6900000.0,Africa
2021,GRC,manufacturing,aluminum,Smelting,1293534,523167.0,2280000.0,Europe
2021,ISL,manufacturing,aluminum,Smelting,1240313,501645.0,10380000.0,Europe
2021,ARG,manufacturing,aluminum,Smelting,872736,352979.0,3948000.0,South America
2021,OMN,manufacturing,aluminum,Smelting,821518,332263.0,4800000.0,Asia
2021,NZL,manufacturing,aluminum,Smelting,785149,317554.0,3960000.0,Oceania
2021,EGY,manufacturing,aluminum,Smelting,736110,297718.0,3840000.0,Africa
2021,IRN,manufacturing,aluminum,Smelting,724953,293209.0,4812000.0,Asia
2021,IDN,manufacturing,aluminum,Smelting,542360,219357.0,3600000.0,Asia
2021,KAZ,manufacturing,aluminum,Smelting,479083,193764.0,3180000.0,Asia
2021,TUR,manufacturing,aluminum,Smelting,271178,109680.0,1800000.0,Asia
2021,GBR,manufacturing,aluminum,Smelting,258706,104633.0,456000.0,Europe
2021,SWE,manufacturing,aluminum,Smelting,189273,76551.0,1584000.0,Europe
2021,TJK,manufacturing,aluminum,Smelting,180787,73119.0,1200000.0,Asia
2021,ROU,manufacturing,aluminum,Smelting,162030,65532.0,1356000.0,Europe
2021,CMR,manufacturing,aluminum,Smelting,115018,46518.0,600000.0,Africa
2021,SVK,manufacturing,aluminum,Smelting,100372,40597.0,840000.0,Europe
2021,GHA,manufacturing,aluminum,Smelting,92012,37216.0,480000.0,Africa
2021,AZE,manufacturing,aluminum,Smelting,90394,36560.0,600000.0,Asia
2021,SVN,manufacturing,aluminum,Smelting,71696,28997.0,600000.0,Europe
2021,AUS,mineral-extraction,bauxite-mining,bauxite-mine,833442,100419467.0,0.0,Oceania
2021,GIN,mineral-extraction,bauxite-mining,bauxite-mine,1908511,37885419.0,0.0,Africa
2021,BRA,mineral-extraction,bauxite-mining,bauxite-mine,537281,28662636.0,0.0,South America
2021,IDN,mineral-extraction,bauxite-mining,bauxite-mine,1083135,24069655.0,0.0,Asia
2021,CHN,mineral-extraction,bauxite-mining,bauxite-mine,843481,18744015.0,0.0,Asia
2021,JAM,mineral-extraction,bauxite-mining,bauxite-mine,1044963,12774596.0,0.0,North America
2021,IND,mineral-extraction,bauxite-mining,bauxite-mine,533085,11846346.0,0.0,Asia
2021,VNM,mineral-extraction,bauxite-mining,bauxite-mine,366383,8141853.0,0.0,Asia
2021,SAU,mineral-extraction,bauxite-mining,bauxite-mine,410845,6470000.0,0.0,Asia
2021,RUS,mineral-extraction,bauxite-mining,bauxite-mine,472804,5780000.0,0.0,Europe
2021,SLE,mineral-extraction,bauxite-mining,bauxite-mine,126000,2800000.0,0.0,Africa
2021,BIH,mineral-extraction,bauxite-mining,bauxite-mine,116556,2590133.0,0.0,Europe
2021,GHA,mineral-extraction,bauxite-mining,bauxite-mine,69138,1536395.0,0.0,Africa
2021,KAZ,mineral-extraction,bauxite-mining,bauxite-mine,58730,1305106.0,0.0,Asia
2021,MNE,mineral-extraction,bauxite-mining,bauxite-mine,15722,349367.0,0.0,Europe
2021,MYS,mineral-extraction,bauxite-mining,bauxite-mine,13101,291139.0,0.0,Asia
2021,MOZ,mineral-extraction,bauxite-mining,bauxite-mine,452,10039.0,0.0,Africa
2021,IRN,mineral-extraction,bauxite-mining,bauxite-mine,94,2098.0,0.0,Asia
2021,SLB,mineral-extraction,bauxite-mining,bauxite-mine,0,0.0,0.0,Oceania
2021,TUR,mineral-extraction,bauxite-mining,bauxite-mine,0,0.0,0.0,Asia
2021,HUN,mineral-extraction,bauxite-mining,bauxite-mine,0,0.0,0.0,Europe
2021,GUY,mineral-extraction,bauxite-mining,bauxite-mine,0,0.0,0.0,South America
2021,SUR,mineral-extraction,bauxite-mining,bauxite-mine,0,0.0,0.0,South America
2021,CHN,manufacturing,cement,Dry,813139945,976635295.0,18472020000.0,Asia
2021,IND,manufacturing,cement,Dry,212843460,247764420.0,3796588260.0,Asia
2021,VNM,manufacturing,cement,Dry,66043922,79590271.0,1207053432.0,Asia
2021,USA,manufacturing,cement,Dry,61337830,72755570.0,1548303600.0,North America
2021,IDN,manufacturing,cement,Dry,41692418,50243991.0,980587488.0,Asia
2021,SAU,manufacturing,cement,Dry,36231009,44420831.0,764708520.0,Asia
2021,BRA,manufacturing,cement,Dry,34156000,43213389.0,944723628.0,South America
2021,TUR,manufacturing,cement,Dry,34925666,42820398.0,1080514128.0,Asia
2021,KOR,manufacturing,cement,Dry,33053385,39699326.0,632656812.0,Asia
2021,IRN,manufacturing,cement,Dry,31039776,38055972.0,1349564136.0,Asia
2021,MEX,manufacturing,cement,Dry,30245988,36101939.0,748074240.0,North America
2021,PAK,manufacturing,cement,Dry,28180526,33960681.0,728868000.0,Asia
2021,JPN,manufacturing,cement,Dry,27123411,32577043.0,649020000.0,Asia
2021,THA,manufacturing,cement,Dry,24146726,29629033.0,574560000.0,Asia
2021,EGY,manufacturing,cement,Dry,22889962,27124180.0,886009260.0,Africa
2021,DEU,manufacturing,cement,Dry,19136662,24398150.0,560100000.0,Europe
2021,RUS,manufacturing,cement,Wet,21872763,22113125.0,755253156.0,Europe
2021,PHL,manufacturing,cement,Dry,15001209,17709099.0,299226660.0,Asia
2021,DZA,manufacturing,cement,Dry,13667164,17579632.0,271656000.0,Africa
2021,ESP,manufacturing,cement,Dry,13114342,16555102.0,540908160.0,Europe
2021,MYS,manufacturing,cement,Dry,12936392,15589786.0,240840000.0,Asia
2021,NGA,manufacturing,cement,Dry,12084225,14930872.0,569622864.0,Africa
2021,ITA,manufacturing,cement,Dry,11538243,13924056.0,451080000.0,Europe
2021,RUS,manufacturing,cement,Dry,9775856,11933146.0,407565780.0,Europe
2021,FRA,manufacturing,cement,Dry,9285295,11476544.0,364680000.0,Europe
2021,IND,manufacturing,cement,Unspecified,9307760,10794568.0,158994960.0,Asia
2021,CAN,manufacturing,cement,Dry,8597279,10653751.0,208692000.0,North America
2021,POL,manufacturing,cement,Dry,8178105,10517039.0,193920000.0,Europe
2021,COL,manufacturing,cement,Dry,7960676,9769581.0,163248000.0,South America
2021,ARG,manufacturing,cement,Dry,7077036,8685140.0,289128000.0,South America
2021,RUS,manufacturing,cement,Unspecified,7089385,8618711.0,294364092.0,Europe
2021,ZAF,manufacturing,cement,Dry,6562084,8107900.0,218719980.0,Africa
2021,MAR,manufacturing,cement,Dry,6209914,7987615.0,240729228.0,Africa
2021,PER,manufacturing,cement,Dry,6395243,7848422.0,119700000.0,South America
2021,ETH,manufacturing,cement,Dry,5982675,7391998.0,157752000.0,Africa
2021,ROU,manufacturing,cement,Dry,5782538,7272390.0,141264000.0,Europe
2021,ARE,manufacturing,cement,Dry,5873697,7201412.0,368177148.0,Asia
2021,NPL,manufacturing,cement,Dry,5563812,6705000.0,134100000.0,Asia
2021,KHM,manufacturing,cement,Dry,5443165,6559620.0,92880000.0,Asia
2021,GBR,manufacturing,cement,Dry,4890153,6177186.0,140160000.0,Europe
2021,TWN,manufacturing,cement,Dry,5011330,6039205.0,83520000.0,Asia
2021,USA,manufacturing,cement,Unspecified,5106856,6031694.0,154927920.0,North America
2021,IRQ,manufacturing,cement,Dry,4917684,6029304.0,183881544.0,Asia
2021,JPN,manufacturing,cement,Unspecified,4666516,5582846.0,79980000.0,Asia
2021,GRC,manufacturing,cement,Dry,4416978,5555001.0,168360000.0,Europe
2021,UZB,manufacturing,cement,Dry,4398474,5369109.0,91358400.0,Asia
2021,KAZ,manufacturing,cement,Dry,4352568,5313096.0,152730000.0,Asia
2021,THA,manufacturing,cement,Unspecified,4257326,5202960.0,127680000.0,Asia
2021,MMR,manufacturing,cement,Dry,4063670,4897180.0,166480020.0,Asia
2021,KEN,manufacturing,cement,Dry,3960384,4893324.0,58719996.0,Africa
2021,TZA,manufacturing,cement,Dry,3923712,4848000.0,130440000.0,Africa
2021,BRA,manufacturing,cement,Unspecified,3630293,4575584.0,91214544.0,South America
2021,TUN,manufacturing,cement,Dry,3241674,4169662.0,151080000.0,Africa
2021,LAO,manufacturing,cement,Dry,3375624,4068000.0,95040000.0,Asia
2021,UKR,manufacturing,cement,Wet,3594261,3778596.0,139524000.0,Europe
2021,CZE,manufacturing,cement,Dry,2897676,3695001.0,58800000.0,Europe
2021,IRL,manufacturing,cement,Dry,2912433,3662815.0,68799996.0,Europe
2021,LBN,manufacturing,cement,Dry,2959944,3629028.0,50040000.0,Asia
2021,SEN,manufacturing,cement,Dry,2881044,3559725.0,64920000.0,Africa
2021,PRT,manufacturing,cement,Dry,2774204,3488971.0,95400000.0,Europe
2021,AUT,manufacturing,cement,Dry,2661604,3403156.0,62100012.0,Europe
2021,TUR,manufacturing,cement,Unspecified,2734578,3339224.0,85310928.0,Asia
2021,OMN,manufacturing,cement,Dry,2689228,3297111.0,64800000.0,Asia
2021,QAT,manufacturing,cement,Dry,2603496,3192000.0,132000000.0,Asia
2021,DOM,manufacturing,cement,Dry,2700624,3168000.0,124800000.0,North America
2021,AUS,manufacturing,cement,Dry,2627266,3166149.0,73440000.0,Oceania
2021,LBY,manufacturing,cement,Dry,2486305,3071998.0,148320000.0,Africa
2021,BOL,manufacturing,cement,Dry,2415204,2964000.0,81588000.0,South America
2021,CHE,manufacturing,cement,Dry,2349708,2955101.0,59800008.0,Europe
2021,SDN,manufacturing,cement,Dry,2360049,2916001.0,135120012.0,Africa
2021,UZB,manufacturing,cement,Wet,2811067,2841960.0,39360000.0,Asia
2021,CHN,manufacturing,cement,Unspecified,2277155,2724307.0,54600000.0,Asia
2021,UKR,manufacturing,cement,Unspecified,2150986,2694786.0,90408012.0,Europe
2021,GTM,manufacturing,cement,Dry,2292840,2689632.0,61560000.0,North America
2021,BEL,manufacturing,cement,Dry,2084269,2621276.0,50400000.0,Europe
2021,KOR,manufacturing,cement,Unspecified,2146579,2568089.0,40925604.0,Asia
2021,SWE,manufacturing,cement,Dry,2015804,2535168.0,37200000.0,Europe
2021,UGA,manufacturing,cement,Dry,2010408,2484000.0,33600000.0,Africa
2021,BLR,manufacturing,cement,Unspecified,2014738,2449364.0,32400000.0,Europe
2021,SVK,manufacturing,cement,Dry,1918734,2413088.0,64800000.0,Europe
2021,PAK,manufacturing,cement,Unspecified,1959560,2352009.0,49082400.0,Asia
2021,ITA,manufacturing,cement,Unspecified,1953630,2347830.0,73875000.0,Europe
2021,IRQ,manufacturing,cement,Unspecified,1914720,2338080.0,71306772.0,Asia
2021,DNK,manufacturing,cement,Dry,1843123,2318000.0,35400000.0,Europe
2021,KWT,manufacturing,cement,Unspecified,1897195,2316689.0,45600000.0,Asia
2021,NPL,manufacturing,cement,Unspecified,1862064,2235000.0,44700000.0,Asia
2021,VEN,manufacturing,cement,Dry,1820820,2234556.0,106080000.0,South America
2021,PRK,manufacturing,cement,Dry,1823808,2190504.0,28080000.0,Asia
2021,BEL,manufacturing,cement,Wet,2065231,2171151.0,30840000.0,Europe
2021,TKM,manufacturing,cement,Dry,1799832,2169000.0,70200000.0,Asia
2021,AZE,manufacturing,cement,Dry,1776549,2168590.0,83160000.0,Asia
2021,ECU,manufacturing,cement,Dry,1843376,2162377.0,31200000.0,South America
2021,CAN,manufacturing,cement,Unspecified,1714793,2116577.0,37584000.0,North America
2021,UKR,manufacturing,cement,Dry,1625746,2044619.0,69664008.0,Europe
2021,JOR,manufacturing,cement,Dry,1625248,1992624.0,119200008.0,Asia
2021,SRB,manufacturing,cement,Dry,1549731,1949017.0,43560000.0,Europe
2021,AGO,manufacturing,cement,Dry,1557648,1924572.0,86760000.0,Africa
2021,SAU,manufacturing,cement,Unspecified,1573956,1921975.0,44982852.0,Asia
2021,MEX,manufacturing,cement,Unspecified,1596903,1898052.0,48262848.0,North America
2021,IRQ,manufacturing,cement,Wet,1861092,1892580.0,57720000.0,Asia
2021,HUN,manufacturing,cement,Dry,1502806,1889997.0,79680000.0,Europe
2021,TJK,manufacturing,cement,Wet,1859568,1880004.0,22560000.0,Asia
2021,BGR,manufacturing,cement,Dry,1458901,1834787.0,62400000.0,Europe
2021,HRV,manufacturing,cement,Dry,1441327,1812684.0,32000004.0,Europe
2021,HND,manufacturing,cement,Dry,1491835,1750000.0,28800000.0,North America
2021,DEU,manufacturing,cement,Unspecified,1337478,1698854.0,39000000.0,Europe
2021,PHL,manufacturing,cement,Unspecified,1443502,1696816.0,21373332.0,Asia
2021,NGA,manufacturing,cement,Unspecified,1362760,1677127.0,63291432.0,Africa
2021,ZAF,manufacturing,cement,Unspecified,1340795,1650099.0,64559988.0,Africa
2021,COL,manufacturing,cement,Wet,1577962,1630745.0,23400000.0,South America
2021,CMR,manufacturing,cement,Dry,1254480,1550004.0,18600000.0,Africa
2021,KAZ,manufacturing,cement,Wet,1531896,1548732.0,44520000.0,Asia
2021,GBR,manufacturing,cement,Wet,1454612,1537802.0,21600000.0,Europe
2021,ALB,manufacturing,cement,Dry,1127338,1417796.0,32760000.0,Europe
2021,ZMB,manufacturing,cement,Dry,1129250,1395265.0,71520000.0,Africa
2021,SYR,manufacturing,cement,Dry,1120032,1373220.0,138690000.0,Asia
2021,ISR,manufacturing,cement,Dry,1119249,1372249.0,22132560.0,Asia
2021,CRI,manufacturing,cement,Dry,1143929,1341890.0,25200000.0,North America
2021,YEM,manufacturing,cement,Dry,1076633,1319997.0,86040000.0,Asia
2021,ECU,manufacturing,cement,Unspecified,1107618,1293669.0,20000004.0,South America
2021,FRA,manufacturing,cement,Unspecified,1011546,1245298.0,31200000.0,Europe
2021,BHR,manufacturing,cement,Dry,1012200,1241004.0,14892000.0,Asia
2021,CYP,manufacturing,cement,Dry,979608,1232000.0,28800000.0,Europe
2021,MDA,manufacturing,cement,Dry,999447,1220000.0,28200000.0,Europe
2021,DZA,manufacturing,cement,Unspecified,936014,1199585.0,14400000.0,Africa
2021,IRN,manufacturing,cement,Unspecified,930288,1135992.0,40285488.0,Asia
2021,VNM,manufacturing,cement,Unspecified,922918,1107753.0,16800000.0,Asia
2021,GEO,manufacturing,cement,Wet,1036797,1089968.0,13080000.0,Asia
2021,FIN,manufacturing,cement,Dry,863427,1085886.0,28080000.0,Europe
2021,PAN,manufacturing,cement,Dry,920676,1080000.0,25200000.0,North America
2021,ZWE,manufacturing,cement,Dry,874092,1080000.0,17520000.0,Africa
2021,LTU,manufacturing,cement,Unspecified,859664,1077000.0,22132560.0,Europe
2021,LVA,manufacturing,cement,Dry,850795,1070000.0,19200000.0,Europe
2021,MNG,manufacturing,cement,Dry,849245,1020000.0,82620000.0,Asia
2021,KGZ,manufacturing,cement,Wet,935535,945817.0,19908000.0,Asia
2021,PRY,manufacturing,cement,Dry,723576,888000.0,26280000.0,South America
2021,SVN,manufacturing,cement,Dry,706078,888000.0,44265120.0,Europe
2021,USA,manufacturing,cement,Wet,899094,875881.0,22132560.0,North America
2021,KWT,manufacturing,cement,Dry,713930,875311.0,45600000.0,Asia
2021,BRA,manufacturing,cement,Wet,823517,873016.0,17403636.0,South America
2021,BTN,manufacturing,cement,Dry,716952,864000.0,20100000.0,Asia
2021,VEN,manufacturing,cement,Wet,834084,861972.0,40920000.0,South America
2021,NAM,manufacturing,cement,Dry,689556,852000.0,34080000.0,Africa
2021,BGD,manufacturing,cement,Dry,698241,841457.0,15150000.0,Asia
2021,TUN,manufacturing,cement,Unspecified,655912,840609.0,21600000.0,Africa
