year,iso3_country,sector,subsector,asset_type,co2e_100yr,activity,capacity,continent_ct
2016,CHN,manufacturing,aluminum,Smelting,80704863,32641006.0,547380000.0,Asia
2016,CAN,manufacturing,aluminum,Smelting,7412746,2998079.0,39756000.0,North America
2016,RUS,manufacturing,aluminum,Smelting,6112413,2472165.0,53184000.0,Europe
2016,IND,manufacturing,aluminum,Smelting,5265547,2129649.0,45684000.0,Asia
2016,ARE,manufacturing,aluminum,Smelting,5051414,2043040.0,33456000.0,Asia
2016,DEU,manufacturing,aluminum,Smelting,4258324,1722271.0,6612000.0,Europe
2016,AUS,manufacturing,aluminum,Smelting,4053630,1639482.0,19584000.0,Oceania
2016,FRA,manufacturing,aluminum,Smelting,3323191,1344062.0,5160000.0,Europe
2016,BHR,manufacturing,aluminum,Smelting,2989539,1209117.0,19800000.0,Asia
2016,SAU,manufacturing,aluminum,Smelting,2884450,1166612.0,19104000.0,Asia
2016,USA,manufacturing,aluminum,Smelting,2544014,1028923.0,13644000.0,North America
2016,BRA,manufacturing,aluminum,Smelting,2343754,947931.0,9060000.0,South America
2016,NOR,manufacturing,aluminum,Smelting,2034256,822749.0,17700000.0,Europe
2016,ZAF,manufacturing,aluminum,Smelting,1771235,716374.0,8688000.0,Africa
2016,MYS,manufacturing,aluminum,Smelting,1493770,604151.0,12960000.0,Asia
2016,GRC,manufacturing,aluminum,Smelting,1468386,593887.0,2280000.0,Europe
2016,MOZ,manufacturing,aluminum,Smelting,1406712,568942.0,6900000.0,Africa
2016,QAT,manufacturing,aluminum,Smelting,1199438,485112.0,7944000.0,Asia
2016,ISL,manufacturing,aluminum,Smelting,1192969,482497.0,10380000.0,Europe
2016,ARG,manufacturing,aluminum,Smelting,1021319,413072.0,3948000.0,South America
2016,NZL,manufacturing,aluminum,Smelting,819669,331514.0,3960000.0,Oceania
2016,EGY,manufacturing,aluminum,Smelting,782865,316628.0,3840000.0,Africa
2016,OMN,manufacturing,aluminum,Smelting,724737,293117.0,4800000.0,Asia
2016,IRN,manufacturing,aluminum,Smelting,554632,224321.0,4812000.0,Asia
2016,IDN,manufacturing,aluminum,Smelting,414936,167822.0,3600000.0,Asia
2016,KAZ,manufacturing,aluminum,Smelting,366527,148241.0,3180000.0,Asia
2016,GBR,manufacturing,aluminum,Smelting,293678,118778.0,456000.0,Europe
2016,TUR,manufacturing,aluminum,Smelting,207466,83910.0,1800000.0,Asia
2016,SWE,manufacturing,aluminum,Smelting,182049,73628.0,1584000.0,Europe
2016,ROU,manufacturing,aluminum,Smelting,155846,63032.0,1356000.0,Europe
2016,TJK,manufacturing,aluminum,Smelting,138312,55940.0,1200000.0,Asia
2016,CMR,manufacturing,aluminum,Smelting,122325,49473.0,600000.0,Africa
2016,GHA,manufacturing,aluminum,Smelting,97859,39578.0,480000.0,Africa
2016,SVK,manufacturing,aluminum,Smelting,96542,39045.0,840000.0,Europe
2016,AZE,manufacturing,aluminum,Smelting,69156,27970.0,600000.0,Asia
2016,SVN,manufacturing,aluminum,Smelting,68958,27891.0,600000.0,Europe
2016,CHN,manufacturing,cement,Dry,798936766,937695736.0,18472020000.0,Asia
2016,IND,manufacturing,cement,Dry,203382874,228937532.0,3796588260.0,Asia
2016,USA,manufacturing,cement,Dry,58781314,69088427.0,1548303600.0,North America
2016,VNM,manufacturing,cement,Dry,48915690,58457689.0,1207053432.0,Asia
2016,IDN,manufacturing,cement,Dry,40044522,47856003.0,980587488.0,Asia
2016,SAU,manufacturing,cement,Dry,36968946,44850407.0,764708520.0,Asia
2016,KOR,manufacturing,cement,Dry,37607091,44138676.0,632656812.0,Asia
2016,BRA,manufacturing,cement,Dry,31632582,39502676.0,944723628.0,South America
2016,IRN,manufacturing,cement,Dry,31906464,38708532.0,1349564136.0,Asia
2016,TUR,manufacturing,cement,Dry,29681983,36009901.0,1080514128.0,Asia
2016,MEX,manufacturing,cement,Dry,29105193,34094225.0,748074240.0,North America
2016,THA,manufacturing,cement,Dry,27715158,33876405.0,574560000.0,Asia
2016,JPN,manufacturing,cement,Dry,27459588,32228765.0,649020000.0,Asia
2016,EGY,manufacturing,cement,Dry,24700996,29342467.0,886009260.0,Africa
2016,DEU,manufacturing,cement,Dry,18823220,23999868.0,560100000.0,Europe
2016,PAK,manufacturing,cement,Dry,19465862,23263063.0,728868000.0,Asia
2016,RUS,manufacturing,cement,Wet,20579012,19062435.0,755253156.0,Europe
2016,ESP,manufacturing,cement,Dry,14625980,18004005.0,540908160.0,Europe
2016,MYS,manufacturing,cement,Dry,14896958,17802897.0,240840000.0,Asia
2016,DZA,manufacturing,cement,Dry,12272109,15392921.0,271656000.0,Africa
2016,NGA,manufacturing,cement,Dry,11672016,14436685.0,569622864.0,Africa
2016,PHL,manufacturing,cement,Dry,11749971,13635842.0,299226660.0,Asia
2016,ITA,manufacturing,cement,Dry,10980074,12859489.0,451080000.0,Europe
