year,iso3_country,sector,subsector,asset_type,co2e_100yr,activity,capacity,continent_ct
2020,CHN,manufacturing,aluminum,Smelting,92315736,37336989.0,547380000.0,Asia
2020,CAN,manufacturing,aluminum,Smelting,7318873,2960106.0,39756000.0,North America
2020,RUS,manufacturing,aluminum,Smelting,6376496,2578974.0,53184000.0,Europe
2020,IND,manufacturing,aluminum,Smelting,6333333,2561512.0,45684000.0,Asia
2020,ARE,manufacturing,aluminum,Smelting,5669600,2293065.0,33456000.0,Asia
2020,AUS,manufacturing,aluminum,Smelting,3932288,1590407.0,19584000.0,Oceania
2020,DEU,manufacturing,aluminum,Smelting,3756876,1519467.0,6612000.0,Europe
2020,BHR,manufacturing,aluminum,Smelting,3355393,1357086.0,19800000.0,Asia
2020,SAU,manufacturing,aluminum,Smelting,3237448,1309380.0,19104000.0,Asia
2020,FRA,manufacturing,aluminum,Smelting,2931865,1185790.0,5160000.0,Europe
2020,USA,manufacturing,aluminum,Smelting,2511790,1015889.0,13644000.0,North America
2020,NOR,manufacturing,aluminum,Smelting,2122143,858301.0,17700000.0,Europe
2020,MYS,manufacturing,aluminum,Smelting,1796689,726665.0,12960000.0,Asia
2020,BRA,manufacturing,aluminum,Smelting,1732417,700675.0,9060000.0,South America
2020,ZAF,manufacturing,aluminum,Smelting,1681156,679941.0,8688000.0,Africa
2020,QAT,manufacturing,aluminum,Smelting,1346226,544480.0,7944000.0,Asia
2020,MOZ,manufacturing,aluminum,Smelting,1335172,540008.0,6900000.0,Africa
2020,GRC,manufacturing,aluminum,Smelting,1295475,523953.0,2280000.0,Europe
2020,ISL,manufacturing,aluminum,Smelting,1244511,503343.0,10380000.0,Europe
2020,OMN,manufacturing,aluminum,Smelting,813429,328989.0,4800000.0,Asia
2020,NZL,manufacturing,aluminum,Smelting,795131,321591.0,3960000.0,Oceania
2020,ARG,manufacturing,aluminum,Smelting,754920,305326.0,3948000.0,South America
2020,EGY,manufacturing,aluminum,Smelting,743055,300526.0,3840000.0,Africa
2020,IRN,manufacturing,aluminum,Smelting,667104,269808.0,4812000.0,Asia
2020,IDN,manufacturing,aluminum,Smelting,499080,201853.0,3600000.0,Asia
2020,KAZ,manufacturing,aluminum,Smelting,440855,178303.0,3180000.0,Asia
2020,GBR,manufacturing,aluminum,Smelting,259095,104790.0,456000.0,Europe
2020,TUR,manufacturing,aluminum,Smelting,249538,100930.0,1800000.0,Asia
2020,SWE,manufacturing,aluminum,Smelting,189915,76809.0,1584000.0,Europe
2020,TJK,manufacturing,aluminum,Smelting,166361,67285.0,1200000.0,Asia
