year,iso3_country,sector,subsector,asset_type,co2e_100yr,activity,capacity,continent_ct
2023,CHN,manufacturing,aluminum,Smelting,24764567,10016001.0,136845000.0,Asia
2023,IND,manufacturing,aluminum,Smelting,1754671,709672.0,11421000.0,Asia
2023,CAN,manufacturing,aluminum,Smelting,1728476,699080.0,9939000.0,North America
2023,RUS,manufacturing,aluminum,Smelting,1530791,619127.0,13296000.0,Europe
2023,ARE,manufacturing,aluminum,Smelting,1470616,594790.0,8364000.0,Asia
2023,AUS,manufacturing,aluminum,Smelting,952223,385125.0,4896000.0,Oceania
2023,BHR,manufacturing,aluminum,Smelting,870342,352010.0,4950000.0,Asia
2023,SAU,manufacturing,aluminum,Smelting,839748,339634.0,4776000.0,Asia
2023,DEU,manufacturing,aluminum,Smelting,753855,304896.0,1653000.0,Europe
2023,BRA,manufacturing,aluminum,Smelting,613062,247952.0,2265000.0,South America
2023,USA,manufacturing,aluminum,Smelting,593202,239921.0,3411000.0,North America
2023,FRA,manufacturing,aluminum,Smelting,588307,237940.0,1290000.0,Europe
2023,NOR,manufacturing,aluminum,Smelting,509457,206050.0,4425000.0,Europe
2023,MYS,manufacturing,aluminum,Smelting,497780,201326.0,3240000.0,Asia
2023,ZAF,manufacturing,aluminum,Smelting,410600,166067.0,2172000.0,Africa
2023,QAT,manufacturing,aluminum,Smelting,349191,141231.0,1986000.0,Asia
2023,MOZ,manufacturing,aluminum,Smelting,326099,131890.0,1725000.0,Africa
2023,ISL,manufacturing,aluminum,Smelting,298766,120835.0,2595000.0,Europe
2023,ARG,manufacturing,aluminum,Smelting,267148,108048.0,987000.0,South America
2023,GRC,manufacturing,aluminum,Smelting,259950,105137.0,570000.0,Europe
2023,OMN,manufacturing,aluminum,Smelting,210992,85335.0,1200000.0,Asia
2023,NZL,manufacturing,aluminum,Smelting,192544,77875.0,990000.0,Oceania
2023,IRN,manufacturing,aluminum,Smelting,184825,74752.0,1203000.0,Asia
2023,EGY,manufacturing,aluminum,Smelting,181481,73400.0,960000.0,Africa
2023,IDN,manufacturing,aluminum,Smelting,138272,55924.0,900000.0,Asia
2023,KAZ,manufacturing,aluminum,Smelting,122141,49400.0,795000.0,Asia
2023,TUR,manufacturing,aluminum,Smelting,69136,27962.0,450000.0,Asia
2023,GBR,manufacturing,aluminum,Smelting,51990,21027.0,114000.0,Europe
2023,TJK,manufacturing,aluminum,Smelting,46091,18641.0,300000.0,Asia
2023,SWE,manufacturing,aluminum,Smelting,45592,18440.0,396000.0,Europe
2023,ROU,manufacturing,aluminum,Smelting,39030,15786.0,339000.0,Europe
2023,CMR,manufacturing,aluminum,Smelting,28357,11469.0,150000.0,Africa
2023,SVK,manufacturing,aluminum,Smelting,24178,9778.0,210000.0,Europe
2023,AZE,manufacturing,aluminum,Smelting,23046,9320.0,150000.0,Asia
2023,GHA,manufacturing,aluminum,Smelting,22685,9175.0,120000.0,Africa
2023,SVN,manufacturing,aluminum,Smelting,17270,6985.0,150000.0,Europe
2023,CHN,manufacturing,cement,Dry,183867444,220837224.0,4618005000.0,Asia
2023,IND,manufacturing,cement,Dry,60424497,70338309.0,949147065.0,Asia
2023,VNM,manufacturing,cement,Dry,15121974,18223650.0,301763358.0,Asia
2023,USA,manufacturing,cement,Dry,13691391,16240002.0,387075900.0,North America
2023,IDN,manufacturing,cement,Dry,10423101,12561003.0,245146872.0,Asia
2023,SAU,manufacturing,cement,Dry,8350824,10238499.0,191177130.0,Asia
2023,BRA,manufacturing,cement,Dry,7813314,9885216.0,236180907.0,South America
2023,IRN,manufacturing,cement,Dry,7759944,9513993.0,337391034.0,Asia
2023,MEX,manufacturing,cement,Dry,7790565,9298914.0,187018560.0,North America
2023,TUR,manufacturing,cement,Dry,6303711,7728633.0,270128532.0,Asia
2023,KOR,manufacturing,cement,Dry,6433200,7726710.0,158164203.0,Asia
2023,PAK,manufacturing,cement,Dry,6232059,7510326.0,182217000.0,Asia
2023,THA,manufacturing,cement,Dry,5986026,7345110.0,143640000.0,Asia
2023,JPN,manufacturing,cement,Dry,5788812,6952734.0,162255000.0,Asia
2023,EGY,manufacturing,cement,Dry,5460885,6471045.0,221502315.0,Africa
2023,PHL,manufacturing,cement,Dry,4305771,5083017.0,74806665.0,Asia
2023,DEU,manufacturing,cement,Dry,3957573,5045658.0,140025000.0,Europe
2023,MYS,manufacturing,cement,Dry,3183822,3836862.0,60210000.0,Asia
