sector,subsector,iso3_country,co2e_100yr,continent_ct
power,electricity-generation,ABW,741000,North America
forestry-and-land-use,forest-land-clearing,ABW,7,North America
forestry-and-land-use,forest-land-degradation,ABW,0,North America
forestry-and-land-use,forest-land-fires,ABW,0,North America
transportation,international-aviation,ABW,284825,North America
forestry-and-land-use,net-forest-land,ABW,331,North America
forestry-and-land-use,net-shrubgrass,ABW,45367,North America
forestry-and-land-use,net-wetland,ABW,62,North America
forestry-and-land-use,removals,ABW,491,North America
forestry-and-land-use,shrubgrass-fires,ABW,0,North America
waste,wastewater-treatment-and-discharge,ABW,105,North America
forestry-and-land-use,wetland-fires,ABW,0,North America
fossil-fuel-operations,coal-mining,AFG,153379,Asia
agriculture,cropland-fires,AFG,17357,Asia
transportation,domestic-aviation,AFG,4459,Asia
agriculture,enteric-fermentation-cattle-pasture,AFG,6015,Asia
forestry-and-land-use,forest-land-clearing,AFG,82,Asia
forestry-and-land-use,forest-land-degradation,AFG,0,Asia
forestry-and-land-use,forest-land-fires,AFG,194,Asia
transportation,international-aviation,AFG,21551,Asia
agriculture,manure-left-on-pasture-cattle,AFG,1370,Asia
forestry-and-land-use,net-forest-land,AFG,14962,Asia
forestry-and-land-use,net-shrubgrass,AFG,73608,Asia
forestry-and-land-use,net-wetland,AFG,31,Asia
fossil-fuel-operations,oil-and-gas-refining,AFG,57743,Asia
forestry-and-land-use,removals,AFG,426,Asia
agriculture,rice-cultivation,AFG,0,Asia
transportation,road-transportation,AFG,67131,Asia
forestry-and-land-use,shrubgrass-fires,AFG,20,Asia
agriculture,synthetic-fertilizer-application,AFG,1287,Asia
waste,wastewater-treatment-and-discharge,AFG,11186,Asia
forestry-and-land-use,water-reservoirs,AFG,10239,Asia
forestry-and-land-use,wetland-fires,AFG,0,Asia
agriculture,cropland-fires,AGO,70827,Africa
transportation,domestic-aviation,AGO,1074,Africa
power,electricity-generation,AGO,194600,Africa
agriculture,enteric-fermentation-cattle-pasture,AGO,56446,Africa
forestry-and-land-use,forest-land-clearing,AGO,1298057,Africa
forestry-and-land-use,forest-land-degradation,AGO,75659,Africa
forestry-and-land-use,forest-land-fires,AGO,21307072,Africa
transportation,international-aviation,AGO,195772,Africa
mineral-extraction,iron-mining,AGO,0,Africa
agriculture,manure-left-on-pasture-cattle,AGO,29146,Africa
forestry-and-land-use,net-forest-land,AGO,618403,Africa
forestry-and-land-use,net-shrubgrass,AGO,-504774,Africa
forestry-and-land-use,net-wetland,AGO,-277270,Africa
fossil-fuel-operations,oil-and-gas-production-and-transport,AGO,1100654,Africa
fossil-fuel-operations,oil-and-gas-refining,AGO,411835,Africa
forestry-and-land-use,removals,AGO,-23330699,Africa
transportation,road-transportation,AGO,180972,Africa
forestry-and-land-use,shrubgrass-fires,AGO,3471401,Africa
waste,solid-waste-disposal,AGO,386270,Africa
agriculture,synthetic-fertilizer-application,AGO,173,Africa
waste,wastewater-treatment-and-discharge,AGO,16888,Africa
forestry-and-land-use,water-reservoirs,AGO,57493,Africa
forestry-and-land-use,wetland-fires,AGO,125545,Africa
forestry-and-land-use,forest-land-clearing,AIA,12,North America
forestry-and-land-use,forest-land-degradation,AIA,0,North America
forestry-and-land-use,forest-land-fires,AIA,0,North America
transportation,international-aviation,AIA,390,North America
forestry-and-land-use,net-forest-land,AIA,578,North America
forestry-and-land-use,net-shrubgrass,AIA,36,North America
forestry-and-land-use,net-wetland,AIA,44,North America
forestry-and-land-use,removals,AIA,-6,North America
forestry-and-land-use,shrubgrass-fires,AIA,0,North America
forestry-and-land-use,wetland-fires,AIA,0,North America
forestry-and-land-use,forest-land-clearing,ALA,51441,Europe
forestry-and-land-use,forest-land-degradation,ALA,0,Europe
forestry-and-land-use,forest-land-fires,ALA,0,Europe
forestry-and-land-use,net-forest-land,ALA,-383848,Europe
forestry-and-land-use,net-shrubgrass,ALA,-2939,Europe
forestry-and-land-use,net-wetland,ALA,-188,Europe
forestry-and-land-use,removals,ALA,-60214,Europe
forestry-and-land-use,shrubgrass-fires,ALA,0,Europe
forestry-and-land-use,wetland-fires,ALA,0,Europe
fossil-fuel-operations,coal-mining,ALB,18381,Europe
mineral-extraction,copper-mining,ALB,18372,Europe
agriculture,cropland-fires,ALB,7173,Europe
agriculture,enteric-fermentation-cattle-pasture,ALB,24565,Europe
forestry-and-land-use,forest-land-clearing,ALB,18246,Europe
forestry-and-land-use,forest-land-degradation,ALB,0,Europe
forestry-and-land-use,forest-land-fires,ALB,17670,Europe
transportation,international-aviation,ALB,164563,Europe
agriculture,manure-left-on-pasture-cattle,ALB,8655,Europe
forestry-and-land-use,net-forest-land,ALB,243061,Europe
forestry-and-land-use,net-shrubgrass,ALB,34257,Europe
forestry-and-land-use,net-wetland,ALB,-1087,Europe
fossil-fuel-operations,oil-and-gas-refining,ALB,108692,Europe
forestry-and-land-use,removals,ALB,-33877,Europe
transportation,road-transportation,ALB,163441,Europe
forestry-and-land-use,shrubgrass-fires,ALB,3700,Europe
waste,solid-waste-disposal,ALB,51703,Europe
agriculture,synthetic-fertilizer-application,ALB,8772,Europe
waste,wastewater-treatment-and-discharge,ALB,14607,Europe
forestry-and-land-use,water-reservoirs,ALB,3427,Europe
forestry-and-land-use,wetland-fires,ALB,2,Europe
agriculture,cropland-fires,AND,22,Europe
agriculture,enteric-fermentation-cattle-pasture,AND,0,Europe
forestry-and-land-use,forest-land-clearing,AND,136,Europe
forestry-and-land-use,forest-land-degradation,AND,0,Europe
forestry-and-land-use,forest-land-fires,AND,0,Europe
agriculture,manure-left-on-pasture-cattle,AND,0,Europe
forestry-and-land-use,net-forest-land,AND,10666,Europe
forestry-and-land-use,net-shrubgrass,AND,9045,Europe
forestry-and-land-use,net-wetland,AND,0,Europe
forestry-and-land-use,removals,AND,131,Europe
forestry-and-land-use,shrubgrass-fires,AND,0,Europe
waste,solid-waste-disposal,AND,71485,Europe
agriculture,synthetic-fertilizer-application,AND,3,Europe
forestry-and-land-use,wetland-fires,AND,0,Europe
agriculture,cropland-fires,ARE,230,Asia
transportation,domestic-aviation,ARE,9,Asia
power,electricity-generation,ARE,2862740,Asia
agriculture,enteric-fermentation-cattle-pasture,ARE,1646,Asia
forestry-and-land-use,forest-land-clearing,ARE,0,Asia
forestry-and-land-use,forest-land-degradation,ARE,0,Asia
forestry-and-land-use,forest-land-fires,ARE,0,Asia
transportation,international-aviation,ARE,1383396,Asia
agriculture,manure-left-on-pasture-cattle,ARE,554,Asia
forestry-and-land-use,net-forest-land,ARE,3616,Asia
forestry-and-land-use,net-shrubgrass,ARE,698,Asia
forestry-and-land-use,net-wetland,ARE,-22,Asia
fossil-fuel-operations,oil-and-gas-production-and-transport,ARE,6494557,Asia
fossil-fuel-operations,oil-and-gas-refining,ARE,1768028,Asia
forestry-and-land-use,removals,ARE,79,Asia
transportation,road-transportation,ARE,78726,Asia
forestry-and-land-use,shrubgrass-fires,ARE,0,Asia
waste,solid-waste-disposal,ARE,342827,Asia
waste,wastewater-treatment-and-discharge,ARE,6144,Asia
forestry-and-land-use,wetland-fires,ARE,0,Asia
fossil-fuel-operations,coal-mining,ARG,9897,South America
mineral-extraction,copper-mining,ARG,54361,South America
agriculture,cropland-fires,ARG,312963,South America
transportation,domestic-aviation,ARG,21212,South America
power,electricity-generation,ARG,562744,South America
agriculture,enteric-fermentation-cattle-feedlot,ARG,18181,South America
agriculture,enteric-fermentation-cattle-pasture,ARG,358751,South America
forestry-and-land-use,forest-land-clearing,ARG,199408,South America
forestry-and-land-use,forest-land-degradation,ARG,3,South America
forestry-and-land-use,forest-land-fires,ARG,56804,South America
transportation,international-aviation,ARG,123746,South America
agriculture,manure-left-on-pasture-cattle,ARG,103258,South America
agriculture,manure-management-cattle-feedlot,ARG,368,South America
forestry-and-land-use,net-forest-land,ARG,119866,South America
forestry-and-land-use,net-shrubgrass,ARG,-432163,South America
forestry-and-land-use,net-wetland,ARG,-118711,South America
fossil-fuel-operations,oil-and-gas-production-and-transport,ARG,2248395,South America
fossil-fuel-operations,oil-and-gas-refining,ARG,717169,South America
forestry-and-land-use,removals,ARG,-352441,South America
agriculture,rice-cultivation,ARG,3793,South America
transportation,road-transportation,ARG,297172,South America
forestry-and-land-use,shrubgrass-fires,ARG,44609,South America
waste,solid-waste-disposal,ARG,207656,South America
agriculture,synthetic-fertilizer-application,ARG,36348,South America
waste,wastewater-treatment-and-discharge,ARG,10572,South America
forestry-and-land-use,water-reservoirs,ARG,37542,South America
forestry-and-land-use,wetland-fires,ARG,5414,South America
mineral-extraction,copper-mining,ARM,417075,Asia
agriculture,cropland-fires,ARM,9800,Asia
power,electricity-generation,ARM,551000,Asia
agriculture,enteric-fermentation-cattle-pasture,ARM,115305,Asia
forestry-and-land-use,forest-land-clearing,ARM,174,Asia
forestry-and-land-use,forest-land-degradation,ARM,0,Asia
forestry-and-land-use,forest-land-fires,ARM,4558,Asia
transportation,international-aviation,ARM,89836,Asia
agriculture,manure-left-on-pasture-cattle,ARM,38860,Asia
forestry-and-land-use,net-forest-land,ARM,361506,Asia
forestry-and-land-use,net-shrubgrass,ARM,-472187,Asia
forestry-and-land-use,net-wetland,ARM,-545,Asia
forestry-and-land-use,removals,ARM,-11719,Asia
transportation,road-transportation,ARM,421115,Asia
forestry-and-land-use,shrubgrass-fires,ARM,2219,Asia
waste,solid-waste-disposal,ARM,250939,Asia
agriculture,synthetic-fertilizer-application,ARM,6981,Asia
waste,wastewater-treatment-and-discharge,ARM,3538,Asia
forestry-and-land-use,water-reservoirs,ARM,1137,Asia
forestry-and-land-use,wetland-fires,ARM,0,Asia
transportation,international-aviation,ASM,4530,Oceania
waste,wastewater-treatment-and-discharge,ASM,966,Oceania
forestry-and-land-use,forest-land-clearing,ATA,0,Antarctica
forestry-and-land-use,forest-land-degradation,ATA,0,Antarctica
forestry-and-land-use,forest-land-fires,ATA,0,Antarctica
forestry-and-land-use,shrubgrass-fires,ATA,0,Antarctica
forestry-and-land-use,wetland-fires,ATA,0,Antarctica
forestry-and-land-use,forest-land-clearing,ATF,0,Antarctica
forestry-and-land-use,forest-land-degradation,ATF,0,Antarctica
forestry-and-land-use,forest-land-fires,ATF,0,Antarctica
forestry-and-land-use,net-forest-land,ATF,-352,Antarctica
forestry-and-land-use,net-shrubgrass,ATF,-114,Antarctica
forestry-and-land-use,net-wetland,ATF,1041,Antarctica
forestry-and-land-use,removals,ATF,12,Antarctica
forestry-and-land-use,shrubgrass-fires,ATF,0,Antarctica
forestry-and-land-use,wetland-fires,ATF,0,Antarctica
agriculture,cropland-fires,ATG,9,North America
forestry-and-land-use,forest-land-clearing,ATG,1079,North America
forestry-and-land-use,forest-land-degradation,ATG,61,North America
forestry-and-land-use,forest-land-fires,ATG,0,North America
transportation,international-aviation,ATG,115136,North America
forestry-and-land-use,net-forest-land,ATG,-17846,North America
forestry-and-land-use,net-shrubgrass,ATG,1296,North America
forestry-and-land-use,net-wetland,ATG,-1320,North America
forestry-and-land-use,removals,ATG,-1339,North America
forestry-and-land-use,shrubgrass-fires,ATG,0,North America
waste,wastewater-treatment-and-discharge,ATG,63,North America
forestry-and-land-use,wetland-fires,ATG,0,North America
mineral-extraction,bauxite-mining,AUS,104180,Oceania
fossil-fuel-operations,coal-mining,AUS,888611,Oceania
mineral-extraction,copper-mining,AUS,93985,Oceania
agriculture,cropland-fires,AUS,107629,Oceania
transportation,domestic-aviation,AUS,24168,Oceania
power,electricity-generation,AUS,1029138,Oceania
agriculture,enteric-fermentation-cattle-feedlot,AUS,18554,Oceania
agriculture,enteric-fermentation-cattle-pasture,AUS,157090,Oceania
forestry-and-land-use,forest-land-clearing,AUS,716591,Oceania
forestry-and-land-use,forest-land-degradation,AUS,1085,Oceania
forestry-and-land-use,forest-land-fires,AUS,3025641,Oceania
transportation,international-aviation,AUS,236309,Oceania
mineral-extraction,iron-mining,AUS,105204,Oceania
agriculture,manure-left-on-pasture-cattle,AUS,62100,Oceania
agriculture,manure-management-cattle-feedlot,AUS,700,Oceania
forestry-and-land-use,net-forest-land,AUS,1301563,Oceania
forestry-and-land-use,net-shrubgrass,AUS,-2758884,Oceania
forestry-and-land-use,net-wetland,AUS,-5013,Oceania
fossil-fuel-operations,oil-and-gas-production-and-transport,AUS,3072438,Oceania
fossil-fuel-operations,oil-and-gas-refining,AUS,656506,Oceania
forestry-and-land-use,removals,AUS,-3384999,Oceania
