,sector,subsector,iso3_country,co2e_100yr,continent_ct
169,fossil-fuel-operations,coal-mining,NER,5027,Africa
170,waste,solid-waste-disposal,NER,134696,Africa
171,fossil-fuel-operations,coal-mining,NGA,2119,Africa
172,waste,solid-waste-disposal,NGA,55633,Africa
173,waste,solid-waste-disposal,NIC,151450,North America
174,waste,solid-waste-disposal,NLD,21985,Europe
175,fossil-fuel-operations,coal-mining,NOR,38743,Europe
176,waste,solid-waste-disposal,NOR,185379,Europe
177,fossil-fuel-operations,coal-mining,NPL,659,Asia
178,waste,solid-waste-disposal,NPL,39114,Asia
179,fossil-fuel-operations,coal-mining,NZL,15461,Oceania
180,waste,solid-waste-disposal,NZL,93913,Oceania
181,fossil-fuel-operations,coal-mining,PAK,95523,Asia
182,waste,solid-waste-disposal,PAK,516144,Asia
183,mineral-extraction,copper-mining,PAN,2095225,North America
184,waste,solid-waste-disposal,PAN,139245,North America
185,fossil-fuel-operations,coal-mining,PER,24540,South America
186,mineral-extraction,copper-mining,PER,211482,South America
187,waste,solid-waste-disposal,PER,325241,South America
188,fossil-fuel-operations,coal-mining,PHL,179810,Asia
189,mineral-extraction,copper-mining,PHL,145590,Asia
190,waste,solid-waste-disposal,PHL,24519,Asia
191,mineral-extraction,copper-mining,PNG,215416,Oceania
192,waste,solid-waste-disposal,PNG,131524,Oceania
193,fossil-fuel-operations,coal-mining,POL,954031,Europe
194,mineral-extraction,copper-mining,POL,159740,Europe
195,waste,solid-waste-disposal,POL,73139,Europe
196,fossil-fuel-operations,coal-mining,PRK,450403,Asia
197,mineral-extraction,copper-mining,PRT,19709,Europe
198,waste,solid-waste-disposal,PRT,60130,Europe
199,waste,solid-waste-disposal,PRY,197119,South America
200,waste,solid-waste-disposal,PSE,60898,Asia
201,waste,solid-waste-disposal,QAT,384872,Asia
202,waste,solid-waste-disposal,REU,37842,Africa
203,fossil-fuel-operations,coal-mining,ROU,69505,Europe
204,mineral-extraction,copper-mining,ROU,59616,Europe
205,waste,solid-waste-disposal,ROU,39991,Europe
206,fossil-fuel-operations,coal-mining,RUS,476291,Europe
207,mineral-extraction,copper-mining,RUS,976897,Europe
208,waste,solid-waste-disposal,RUS,248117,Europe
209,mineral-extraction,copper-mining,SAU,26787,Asia
210,waste,solid-waste-disposal,SAU,303542,Asia
211,waste,solid-waste-disposal,SEN,96540,Africa
212,waste,solid-waste-disposal,SGP,1253,Asia
213,waste,solid-waste-disposal,SJM,174731,Europe
214,waste,solid-waste-disposal,SLE,25641,Africa
215,waste,solid-waste-disposal,SLV,463396,North America
216,fossil-fuel-operations,coal-mining,SRB,123574,Europe
217,mineral-extraction,copper-mining,SRB,90774,Europe
218,waste,solid-waste-disposal,SRB,85149,Europe
219,waste,solid-waste-disposal,SSD,223306,Africa
220,waste,solid-waste-disposal,SUR,433908,South America
221,fossil-fuel-operations,coal-mining,SVK,135743,Europe
222,waste,solid-waste-disposal,SVK,11011,Europe
223,fossil-fuel-operations,coal-mining,SVN,438339,Europe
