year,iso3_country,sector,subsector,asset_type,co2e_100yr,activity,capacity,continent_ct
2015,CHN,manufacturing,aluminum,Smelting,77928264,31517993.0,547380000.0,Asia
2015,CAN,manufacturing,aluminum,Smelting,8226364,3327149.0,39756000.0,North America
2015,RUS,manufacturing,aluminum,Smelting,5879032,2377768.0,53184000.0,Europe
2015,ARE,manufacturing,aluminum,Smelting,4961020,2006477.0,33456000.0,Asia
2015,IND,manufacturing,aluminum,Smelting,4590902,1856787.0,45684000.0,Asia
2015,DEU,manufacturing,aluminum,Smelting,4220012,1706778.0,6612000.0,Europe
2015,AUS,manufacturing,aluminum,Smelting,4068029,1645300.0,19584000.0,Oceania
2015,FRA,manufacturing,aluminum,Smelting,3293294,1331968.0,5160000.0,Europe
2015,BHR,manufacturing,aluminum,Smelting,2936041,1187479.0,19800000.0,Asia
2015,SAU,manufacturing,aluminum,Smelting,2832832,1145740.0,19104000.0,Asia
2015,USA,manufacturing,aluminum,Smelting,2823236,1141852.0,13644000.0,North America
2015,BRA,manufacturing,aluminum,Smelting,2281759,922858.0,9060000.0,South America
2015,NOR,manufacturing,aluminum,Smelting,1956582,791338.0,17700000.0,Europe
2015,ZAF,manufacturing,aluminum,Smelting,1767046,714680.0,8688000.0,Africa
2015,GRC,manufacturing,aluminum,Smelting,1455176,588544.0,2280000.0,Europe
2015,MOZ,manufacturing,aluminum,Smelting,1403386,567598.0,6900000.0,Africa
2015,MYS,manufacturing,aluminum,Smelting,1302385,526749.0,12960000.0,Asia
2015,QAT,manufacturing,aluminum,Smelting,1177975,476431.0,7944000.0,Asia
2015,ISL,manufacturing,aluminum,Smelting,1147420,464069.0,10380000.0,Europe
2015,ARG,manufacturing,aluminum,Smelting,994303,402149.0,3948000.0,South America
2015,NZL,manufacturing,aluminum,Smelting,822578,332693.0,3960000.0,Oceania
2015,EGY,manufacturing,aluminum,Smelting,781014,315880.0,3840000.0,Africa
2015,OMN,manufacturing,aluminum,Smelting,711767,287874.0,4800000.0,Asia
2015,IRN,manufacturing,aluminum,Smelting,483572,195579.0,4812000.0,Asia
2015,IDN,manufacturing,aluminum,Smelting,361772,146319.0,3600000.0,Asia
2015,KAZ,manufacturing,aluminum,Smelting,319569,129250.0,3180000.0,Asia
2015,GBR,manufacturing,aluminum,Smelting,291036,117710.0,456000.0,Europe
2015,TUR,manufacturing,aluminum,Smelting,180888,73162.0,1800000.0,Asia
2015,SWE,manufacturing,aluminum,Smelting,175097,70816.0,1584000.0,Europe
2015,ROU,manufacturing,aluminum,Smelting,149892,60624.0,1356000.0,Europe
2015,CMR,manufacturing,aluminum,Smelting,122035,49355.0,600000.0,Africa
2015,TJK,manufacturing,aluminum,Smelting,120590,48774.0,1200000.0,Asia
2015,GHA,manufacturing,aluminum,Smelting,97627,39485.0,480000.0,Africa
2015,SVK,manufacturing,aluminum,Smelting,92854,37556.0,840000.0,Europe
2015,SVN,manufacturing,aluminum,Smelting,66326,26827.0,600000.0,Europe
2015,AZE,manufacturing,aluminum,Smelting,60296,24387.0,600000.0,Asia
2015,CHN,manufacturing,cement,Dry,761296384,902402354.0,18472020000.0,Asia
2015,IND,manufacturing,cement,Dry,197247732,218203845.0,3796588260.0,Asia
2015,USA,manufacturing,cement,Dry,60298869,69889675.0,1548303600.0,North America
